"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Pizza Congelada 250g","7000000000041","Congelados","2025-07-13","Ardo",34.21,221
"Manzana Fuji Familiar","7000000000042","Frutas","2027-08-15","Del Campo",34.96,28
"Papel Higiénico 1L","7000000000043","Limpieza del Hogar","2027-04-05","Ariel",68.26,410
"Crema Agria 100g","7000000000044","Lacteos","2026-01-28","Dos Pinos",19.27,230
"Tomate en Lata 500g","7000000000045","Enlatados","2026-07-25","Campbell's",26.19,448
"Bizcocho Premium","7000000000046","Panaderia","2025-07-20","Pan Artesano",10.63,277
"Paleta de Mango 500ml","7000000000047","Frutas","2026-04-30","Dole",9.15,249
"Espinaca 6-pack","7000000000048","Verduras","2025-05-01","NaturVerd",6.61,2
"Ciruela Pequeño","7000000000049","Frutas","2026-08-08","Fresh Del Monte",18.65,491
"Harina de Maíz Mediano","7000000000050","Harinas y Reposteria","2025-11-14","Maizena",16.93,112
"Tortillas de Maíz Premium","7000000000051","Panaderia","2025-05-05","El Molino",46.89,30
"Pan de Molde Mediano","7000000000052","Panaderia","2027-10-27","El Molino",55.81,272
"Aceite de Oliva Grande","7000000000053","Aceites y Grasas","2025-06-14","Patrona",105.13,36
"Camarón 100g","7000000000054","Mariscos","2027-04-07","Camarón Real",65.18,456
"Chuleta de Cerdo Light","7000000000055","Carnes","2028-05-02","Suiza",36.76,42
"Mango Light","7000000000056","Frutas","2027-12-07","NaturFresh",14.71,134
"Ajo en Polvo 100g","7000000000057","Especias y Condimentos","2026-06-28","Maggi",18.85,344
"Champú Pequeño","7000000000058","Higiene Personal","2026-10-10","Head & Shoulders",93.97,480
"Galletas Saladas Pequeño","7000000000059","Panaderia","2028-06-26","Bimbo",59.92,52
"Galletas Saladas 250g","7000000000060","Panaderia","2027-11-03","El Molino",21.79,478
"Bebida de Avena 100g","7000000000061","Desayuno","2027-01-27","Kellogg's",37.1,225
"Paleta de Limón 200ml","7000000000062","Frutas","2028-06-06","NaturFresh",39.4,414
"Gel de Ducha","7000000000063","Higiene Personal","2028-09-29","Gillette",84.45,154
"Cepillo de Dientes 1kg","7000000000064","Higiene Personal","2026-06-26","Colgate",24.81,55
"Polvo para Hornear 1kg","7000000000065","Harinas y Reposteria","2026-07-12","Maizena",21.24,108
"Cereal de Maíz 250g","7000000000066","Desayuno","2028-11-08","General Mills",58.05,136
"Rábano 2L","7000000000067","Verduras","2025-04-15","Fresh Market",4.58,217
"Helado de Fresa 1L","7000000000068","Frutas","2025-01-08","Fresh Del Monte",15.34,67
"Jabón de Barra 500g","7000000000069","Higiene Personal","2027-06-24","Head & Shoulders",61.89,219
"Costilla de Res 250ml","7000000000070","Carnes","2025-06-04","San Rafael",190.66,354
"Piña en Lata 1L","7000000000071","Enlatados","2027-01-27","Herdez",30.39,76
"Melón 1L","7000000000072","Frutas","2026-09-24","Chiquita",16.49,478
"Tahini 330ml","7000000000073","Especias y Condimentos","2026-03-07","McCormick",28.87,342
"Pasta Penne Premium","7000000000074","Granos y Cereales","2027-04-13","Barilla",48.85,384
"Pera en Lata 500g","7000000000075","Enlatados","2025-12-29","Del Monte",40.85,13
"Azúcar Blanca Familiar","7000000000076","Endulzantes","2028-10-03","Azucarera",52.93,416
"Salsa Inglesa 500g","7000000000077","Especias y Condimentos","2028-12-07","Maggi",8.78,447
"Crema de Leche 100g","7000000000078","Lacteos","2026-02-13","Sello Rojo",66.24,236
"Bebida de Avena 100g","7000000000079","Desayuno","2026-04-02","General Mills",21.42,99
"Frambuesa 2L","7000000000080","Frutas","2025-05-23","Fresh Del Monte",38.77,143
"Bebida de Avena 6-pack","7000000000081","Desayuno","2028-10-23","Post",78.87,275
"Té de Manzanilla 250ml","7000000000082","Bebidas","2026-06-19","Tropicana",18.39,493
"Salsa Picante 250ml","7000000000083","Especias y Condimentos","2028-05-06","McCormick",20.21,374
"Mantequilla de Maní Familiar","7000000000084","Lacteos","2028-05-26","Alpura",78.82,60
"Durazno 250g","7000000000085","Frutas","2026-06-06","NaturFresh",4.64,224
"Leche Entera Premium","7000000000086","Lacteos","2028-11-07","NaturMilk",58.96,380
"Harina de Avena 330ml","7000000000087","Desayuno","2027-06-03","Nestlé",24.2,341
"Té de Manzanilla 750ml","7000000000088","Bebidas","2028-09-20","Nestlé",68.6,369
"Jugo de Uva 200ml","7000000000089","Bebidas","2028-09-27","Nestlé",35.63,207
"Limpiapisos Premium","7000000000090","Limpieza del Hogar","2025-09-18","Clorox",25.35,341
"Pera Extra","7000000000091","Frutas","2028-03-11","Chiquita",14.14,281
"Paleta de Limón 200ml","7000000000092","Frutas","2026-08-11","Dole",10.78,403
"Tocino 750ml","7000000000093","Carnes","2027-08-11","Fud",105.1,346
"Comino Mediano","7000000000094","Especias y Condimentos","2025-12-14","Schwartz",28.06,146
"Chile Jalapeño 750ml","7000000000095","Verduras","2025-07-11","Verde",24.92,385
"Ketchup 100g","7000000000096","Salsas","2026-02-12","Lea & Perrins",15.89,24
"Mayonesa Extra","7000000000097","Salsas","2025-05-30","Cholula",28.22,454
"Blanqueador 250g","7000000000098","Limpieza del Hogar","2028-11-27","Lysol",40.72,205
"Mayonesa","7000000000099","Salsas","2025-08-07","Hellmann's",41.14,113
"Azúcar Blanca Pequeño","7000000000100","Endulzantes","2025-04-13","Truvia",36.99,470
"Queso Suizo Pequeño","7000000000101","Lacteos","2025-10-01","Dos Pinos",65.11,342
"Filete de Pollo Extra","7000000000102","Carnes","2026-10-12","Fud",191.51,457
"Aguacate Grande","7000000000103","Bebidas","2027-05-24","Nestlé",67.29,281
"Tomate Mediano","7000000000104","Verduras","2027-07-11","NaturVerd",9.26,127
"Queso Parmesano Grande","7000000000105","Lacteos","2027-09-20","Alpura",52.01,141
"Coco Rallado 200ml","7000000000106","Frutas","2026-04-26","Dole",13.05,164
"Cerveza Oscura 500ml","7000000000107","Alcoholicas","2025-10-11","Heineken",52.62,197
"Guantes de Hule 250g","7000000000108","Limpieza del Hogar","2025-05-12","Fabuloso",43.19,170
"Pollo Entero Familiar","7000000000109","Carnes","2025-05-08","Noel",65.16,216
"Ciruela","7000000000110","Frutas","2028-03-25","NaturFresh",17.07,4
"Manzana Fuji 6-pack","7000000000111","Frutas","2027-05-09","Fresh Del Monte",22.91,377
"Salchicha de Pollo 100g","7000000000112","Especias y Condimentos","2027-09-27","Schwartz",12.68,224
"Lechuga 6-pack","7000000000113","Verduras","2026-11-20","Del Campo",20.73,409
"Mora Pequeño","7000000000114","Frutas","2025-09-19","Chiquita",39.29,274
"Queso Cheddar Light","7000000000115","Lacteos","2028-03-01","Sello Rojo",54.72,43
"Jabón Líquido 1kg","7000000000116","Higiene Personal","2027-08-04","Oral-B",30.45,134
"Pera 250g","7000000000117","Frutas","2027-07-21","Fresh Del Monte",15.09,390
"Vino Tinto 2L","7000000000118","Alcoholicas","2027-05-14","Santa Rita",67.84,42
"Pimiento Verde Premium","7000000000119","Verduras","2025-04-17","Del Campo",30.0,180
"Canela 1L","7000000000120","Especias y Condimentos","2025-03-05","McCormick",38.24,103
"Paleta de Mango Extra","7000000000121","Frutas","2025-11-09","Dole",11.83,243
"Enjuague Bucal Light","7000000000122","Higiene Personal","2026-03-23","Colgate",54.53,132
"Mermelada de Fresa 500g","7000000000123","Frutas","2028-05-25","Fresh Del Monte",25.47,383
"Cereal de Maíz 500g","7000000000124","Desayuno","2026-09-30","Kellogg's",26.49,14
"Refresco de Lima 6-pack","7000000000125","Bebidas","2027-03-24","Nestlé",75.61,102
"Bizcocho 100g","7000000000126","Panaderia","2025-07-28","El Molino",44.25,155
"Queso Suizo 250ml","7000000000127","Lacteos","2028-03-05","NaturMilk",63.7,178
"Pechuga de Pollo 330ml","7000000000128","Carnes","2025-05-22","Noel",116.01,175
"Yogur de Fresa Mediano","7000000000129","Lacteos","2025-08-05","Sello Rojo",37.51,186
"Quitamanchas 1kg","7000000000130","Limpieza del Hogar","2027-06-11","Ajax",24.09,268
"Acondicionador Extra","7000000000131","Higiene Personal","2028-01-08","Head & Shoulders",80.84,239
"Kiwi 2L","7000000000132","Frutas","2026-10-23","NaturFresh",34.51,426
"Frijoles Negros Pequeño","7000000000133","Granos y Cereales","2026-05-15","Barilla",39.02,292
"Huevo de Codorniz 750ml","7000000000134","Huevos","2025-02-28","NaturEgg",37.24,167
"Azúcar Morena 250g","7000000000135","Endulzantes","2026-12-28","Splenda",49.49,175
"Agua Mineral 2L","7000000000136","Bebidas","2028-02-13","Nestlé",5.76,486
"Jarabe de Maple 100g","7000000000137","Endulzantes","2027-04-13","Domino",33.41,389
"Mostaza Mediano","7000000000138","Salsas","2027-07-07","Cholula",41.72,48
"Jugo de Mango 6-pack","7000000000139","Bebidas","2028-11-17","Del Valle",23.25,340
"Tocino Mediano","7000000000140","Carnes","2028-02-08","Colonial",120.26,218
"Polvo para Hornear 750ml","7000000000141","Harinas y Reposteria","2026-12-22","Maizena",41.03,139
"Refresco de Naranja 100g","7000000000142","Bebidas","2025-09-05","Coca-Cola",59.1,162
"Atún en Lata 500g","7000000000143","Enlatados","2026-01-28","Herdez",17.57,248
"Agua Pura Grande","7000000000144","Bebidas","2028-05-07","Nestlé",26.22,52
"Paleta de Limón 200ml","7000000000145","Frutas","2026-04-11","Chiquita",16.35,155
"Yogur de Fresa 1kg","7000000000146","Lacteos","2026-07-16","NaturMilk",8.41,28
"Bistec de Res 1kg","7000000000147","Carnes","2028-07-30","Colonial",177.64,252
"Pasta Penne Light","7000000000148","Granos y Cereales","2026-08-06","Maseca",26.65,226
"Leche de Soya 1L","7000000000149","Lacteos","2026-06-02","Lala",75.58,245
"Fideos 6-pack","7000000000150","Granos y Cereales","2027-10-05","Maseca",9.26,323
"Bolsas de Basura 1kg","7000000000151","Limpieza del Hogar","2025-11-02","Ariel",74.89,486
"Refresco de Cola 100g","7000000000152","Bebidas","2025-08-31","Tropicana",46.86,214
"Huevo de Gallina Extra","7000000000153","Huevos","2026-04-08","AviCamp",49.91,195
"Papa 200ml","7000000000154","Verduras","2028-04-20","Fresh Market",29.72,157
"Chuleta de Cerdo 1L","7000000000155","Carnes","2028-06-02","Fud",193.22,51
"Cacao en Polvo 250g","7000000000156","Harinas y Reposteria","2026-06-26","Selecta",39.04,81
"Mostaza Premium","7000000000157","Salsas","2025-06-03","Hellmann's",16.26,210
"Papa Mediano","7000000000158","Verduras","2026-08-20","Verde",2.91,148
"Desinfectante Pequeño","7000000000159","Limpieza del Hogar","2025-05-26","Clorox",64.99,474
"Salsa Picante 250g","7000000000160","Especias y Condimentos","2027-05-21","Schwartz",9.02,116
"Champú 2L","7000000000161","Higiene Personal","2025-10-19","Dove",21.07,85
"Crema de Avellanas Extra","7000000000162","Lacteos","2028-03-11","Alpura",74.09,225
"Sardinas en Lata 200ml","7000000000163","Enlatados","2028-12-04","Campbell's",24.09,140
"Apio Mediano","7000000000164","Verduras","2027-06-16","Verde",4.25,21
"Cerveza Lager 750ml","7000000000165","Alcoholicas","2028-05-21","Santa Rita",67.56,47
"Paprika Light","7000000000166","Especias y Condimentos","2025-02-12","Schwartz",39.99,345
"Helado de Vainilla Light","7000000000167","Congelados","2025-03-24","Findus",97.5,90
"Pimiento Verde Pequeño","7000000000168","Verduras","2026-07-24","Verde",7.08,300
"Kiwi 500ml","7000000000169","Frutas","2027-08-21","Del Campo",15.87,171
"Té Negro 500g","7000000000170","Bebidas","2026-11-07","Tropicana",35.87,254
"Jugo de Manzana Premium","7000000000171","Bebidas","2025-03-17","Pepsi",39.11,162
"Salsa de Soya 250ml","7000000000172","Especias y Condimentos","2027-04-08","Maggi",35.27,423
"Leche Entera Pequeño","7000000000173","Lacteos","2027-04-27","NaturMilk",9.07,266
"Plátano Mediano","7000000000174","Frutas","2028-07-04","NaturFresh",19.36,27
"Ajo en Polvo Premium","7000000000175","Especias y Condimentos","2025-09-26","Maggi",37.47,225
"Vino Tinto 250ml","7000000000176","Alcoholicas","2025-03-01","Santa Rita",175.97,312
"Hummus 500g","7000000000177","Verduras","2026-09-29","NaturVerd",17.42,283
"Uva Verde 100g","7000000000178","Frutas","2025-08-21","Dole",20.07,61
"Champú Mediano","7000000000179","Higiene Personal","2026-08-21","Dove",58.25,140
"Piña Mediano","7000000000180","Frutas","2026-05-15","Del Campo",19.9,75
"Durazno Extra","7000000000181","Frutas","2027-11-07","Chiquita",30.61,70
"Leche Condensada 2L","7000000000182","Lacteos","2027-04-30","Dos Pinos",30.49,404
"Rábano","7000000000183","Verduras","2026-08-03","Bio Selecto",22.33,429
"Filete de Tilapia Mediano","7000000000184","Mariscos","2025-11-01","SeaSelect",133.77,248
"Leche de Coco Premium","7000000000185","Lacteos","2028-01-18","Alpura",33.29,478
"Té Negro 100g","7000000000186","Bebidas","2028-03-17","Del Valle",33.72,439
"Mermelada de Mora 1L","7000000000187","Frutas","2026-10-14","Del Campo",30.55,362
"Nuggets de Pollo 6-pack","7000000000188","Carnes","2028-09-21","Noel",164.71,334
"Piña en Lata 1L","7000000000189","Enlatados","2025-09-16","Campbell's",27.58,303
"Té de Manzanilla Pequeño","7000000000190","Bebidas","2025-07-24","Tropicana",44.45,234
"Yogur de Fresa Familiar","7000000000191","Lacteos","2028-09-02","Lala",77.75,39
"Pimiento Verde 750ml","7000000000192","Verduras","2028-06-30","Bio Selecto",21.4,333
"Arroz Blanco Premium","7000000000193","Granos y Cereales","2027-02-18","Barilla",47.98,321
"Cereal de Maíz Premium","7000000000194","Desayuno","2025-03-15","Quaker",57.05,121
"Blanqueador 100g","7000000000195","Limpieza del Hogar","2025-07-05","Clorox",44.72,51
"Chispas de Chocolate Pequeño","7000000000196","Harinas y Reposteria","2025-12-07","Maseca",40.62,463
"Queso Mozzarella 750ml","7000000000197","Lacteos","2025-04-25","Dos Pinos",27.0,192
"Melón 100g","7000000000198","Frutas","2027-12-24","Chiquita",18.25,350
"Crema de Avellanas 500g","7000000000199","Lacteos","2025-12-25","Lala",10.92,446
"Pera 100g","7000000000200","Frutas","2027-10-17","NaturFresh",36.77,74
"Curry en Polvo 2L","7000000000201","Especias y Condimentos","2027-07-31","Goya",13.94,5
"Guacamole 200ml","7000000000202","Verduras","2028-10-19","Fresh Market",17.3,38
"Aguacate Light","7000000000203","Bebidas","2026-09-05","Coca-Cola",52.92,218
"Esponja de Cocina Pequeño","7000000000204","Limpieza del Hogar","2026-09-11","Clorox",25.94,197
"Queso Ricotta 250ml","7000000000205","Lacteos","2026-05-01","Sello Rojo",33.6,184
"Jamón 200ml","7000000000206","Carnes","2025-02-14","Colonial",196.25,338
"Arándano","7000000000207","Frutas","2028-03-05","Fresh Del Monte",35.01,399
"Polvo para Hornear Extra","7000000000208","Harinas y Reposteria","2027-10-15","Maseca",47.14,463
"Jugo de Manzana Extra","7000000000209","Bebidas","2026-12-23","Del Valle",21.43,98
"Detergente en Polvo 1kg","7000000000210","Limpieza del Hogar","2028-07-10","Clorox",17.77,322
"Champú 200ml","7000000000211","Higiene Personal","2027-06-22","Colgate",17.84,187
"Harina de Maíz 500ml","7000000000212","Harinas y Reposteria","2026-08-28","Selecta",23.36,213
"Manteca Vegetal 1kg","7000000000213","Aceites y Grasas","2028-01-10","Nutrioli",107.65,188
"Filete de Pollo 2L","7000000000214","Carnes","2025-12-03","Fud",73.68,423
"Espinaca 750ml","7000000000215","Verduras","2025-08-24","Bio Selecto",15.11,39
"Champiñones Enlatados 6-pack","7000000000216","Enlatados","2028-02-16","Del Monte",22.8,405
"Arándano 2L","7000000000217","Frutas","2028-01-04","Dole",7.57,189
"Papel Higiénico Light","7000000000218","Limpieza del Hogar","2027-02-20","Clorox",75.79,482
"Limón 100g","7000000000219","Frutas","2027-08-24","Dole",3.93,453
"Costilla de Res Extra","7000000000220","Carnes","2026-03-30","Colonial",140.1,326
"Helado de Vainilla 200ml","7000000000221","Congelados","2028-08-22","Ardo",63.79,72
"Pan Integral 200ml","7000000000222","Panaderia","2027-10-06","Bimbo",14.04,121
"Cerveza Lager 1kg","7000000000223","Alcoholicas","2027-03-07","Heineken",98.05,344
"Polvo para Hornear Familiar","7000000000224","Harinas y Reposteria","2028-04-17","Maizena",42.89,80
"Vino Blanco 250ml","7000000000225","Alcoholicas","2027-09-30","Santa Rita",122.35,481
"Agua Mineral 330ml","7000000000226","Bebidas","2026-03-21","Tropicana",38.25,487
"Ketchup 250ml","7000000000227","Salsas","2028-11-05","Lea & Perrins",24.69,462
"Champú 1L","7000000000228","Higiene Personal","2027-03-27","Head & Shoulders",38.45,496
"Sardinas en Lata 500ml","7000000000229","Enlatados","2028-09-19","Campbell's",17.42,328
"Camarón 1L","7000000000230","Mariscos","2026-11-15","Camarón Real",91.15,65
"Mantequilla de Maní 250g","7000000000231","Lacteos","2025-05-21","NaturMilk",67.24,284
"Cebolla en Polvo 250g","7000000000232","Especias y Condimentos","2026-04-23","Schwartz",16.5,76
"Mantequilla de Maní","7000000000233","Lacteos","2026-07-22","NaturMilk",69.38,75
"Frijoles Enlatados 2L","7000000000234","Granos y Cereales","2025-12-24","Mi Cosecha",10.84,444
"Queso Cheddar","7000000000235","Lacteos","2027-01-04","Lala",64.25,122
"Filete de Tilapia","7000000000236","Mariscos","2025-12-23","MarMar",95.73,65
"Fécula de Maíz Grande","7000000000237","Harinas y Reposteria","2025-08-21","Fleischmann",43.05,244
"Tomate Grande","7000000000238","Verduras","2028-04-30","Bio Selecto",5.05,258
"Tomillo 1L","7000000000239","Especias y Condimentos","2028-09-11","Schwartz",23.25,235
"Jabón Líquido 1L","7000000000240","Higiene Personal","2027-09-08","Colgate",87.02,219
"Bolsas de Basura Mediano","7000000000241","Limpieza del Hogar","2028-12-29","Ariel",82.78,38
"Arroz Blanco Extra","7000000000242","Granos y Cereales","2025-10-31","Barilla",8.89,141
"Detergente Líquido Premium","7000000000243","Limpieza del Hogar","2028-12-29","Lysol",36.01,306
"Filete de Pollo Pequeño","7000000000244","Carnes","2027-11-02","Colonial",132.92,51
"Tahini Premium","7000000000245","Especias y Condimentos","2026-03-17","McCormick",20.05,455
"Paprika 750ml","7000000000246","Especias y Condimentos","2027-07-18","Goya",18.96,374
"Lentejas Familiar","7000000000247","Granos y Cereales","2026-10-03","Barilla",35.26,192
"Pera en Lata 500ml","7000000000248","Enlatados","2025-07-06","Campbell's",39.11,48
"Melón 330ml","7000000000249","Frutas","2025-09-24","Dole",23.59,301
"Costilla de Res 750ml","7000000000250","Carnes","2028-10-04","Fud",50.78,182
"Nata Montada 1L","7000000000251","Lacteos","2026-08-13","Sello Rojo",50.03,181
"Pasta Penne Grande","7000000000252","Granos y Cereales","2026-03-12","Mi Cosecha",12.81,247
"Canela 330ml","7000000000253","Especias y Condimentos","2028-02-14","McCormick",17.86,391
"Agua Mineral 100g","7000000000254","Bebidas","2027-05-29","Nestlé",68.39,499
"Mermelada de Fresa Extra","7000000000255","Frutas","2028-10-14","NaturFresh",26.78,14
"Huevo de Gallina","7000000000256","Huevos","2026-01-05","Gold Kist",27.3,391
"Refresco de Lima 330ml","7000000000257","Bebidas","2025-01-13","Coca-Cola",18.61,74
"Hígado de Res 500ml","7000000000258","Carnes","2025-10-18","Noel",155.96,498
"Queso Mozzarella Grande","7000000000259","Lacteos","2026-03-17","Dos Pinos",33.21,233
"Leche de Soya 330ml","7000000000260","Lacteos","2026-10-01","Lala",59.12,398
"Chuleta de Cerdo 500ml","7000000000261","Carnes","2025-04-18","Fud",56.45,387
"Detergente en Polvo 500ml","7000000000262","Limpieza del Hogar","2026-07-12","Ariel",45.45,218
"Lechuga Pequeño","7000000000263","Verduras","2027-04-29","Verde",9.65,387
"Chile Jalapeño 330ml","7000000000264","Verduras","2027-05-31","Del Campo",5.1,348
"Servilletas de Papel Mediano","7000000000265","Limpieza del Hogar","2027-12-16","Lysol",63.37,24
"Tomillo Extra","7000000000266","Especias y Condimentos","2025-04-23","Goya",5.27,155
"Comino 2L","7000000000267","Especias y Condimentos","2026-08-16","Knorr",16.48,4
"Berenjena 500g","7000000000268","Verduras","2025-09-22","Fresh Market",12.65,361
"Paprika Premium","7000000000269","Especias y Condimentos","2028-09-30","Schwartz",33.22,37
"Arándano Familiar","7000000000270","Frutas","2025-02-08","Dole",20.01,40
"Crema Agria Light","7000000000271","Lacteos","2027-05-30","Alpura",48.0,364
"Jabón de Barra 200ml","7000000000272","Higiene Personal","2025-08-24","Oral-B",49.43,495
"Té Verde Extra","7000000000273","Bebidas","2027-08-01","Del Valle",67.4,471
"Plátano Familiar","7000000000274","Frutas","2025-08-05","Dole",12.0,302
"Frambuesa 500ml","7000000000275","Frutas","2027-03-22","NaturFresh",35.21,382
"Leche de Almendra 750ml","7000000000276","Lacteos","2025-12-11","Lala",10.73,325
"Fideos Grande","7000000000277","Granos y Cereales","2026-02-02","Mi Cosecha",45.86,179
"Bebida de Avena 100g","7000000000278","Desayuno","2025-07-30","Nestlé",28.79,102
"Manteca Vegetal 1kg","7000000000279","Aceites y Grasas","2028-09-04","Mazola",27.54,488
"Mermelada de Naranja Pequeño","7000000000280","Frutas","2028-02-29","Del Campo",31.12,230
"Papel de Cocina Extra","7000000000281","Limpieza del Hogar","2026-10-24","Lysol",79.14,322
"Café Molido Pequeño","7000000000282","Bebidas","2025-05-20","Del Valle",40.17,324
"Refresco de Cola Light","7000000000283","Bebidas","2025-04-26","Coca-Cola",31.4,38
"Refresco de Lima Pequeño","7000000000284","Bebidas","2025-03-19","Pepsi",9.27,426
"Jugo de Manzana 500ml","7000000000285","Bebidas","2028-06-13","Tropicana",49.56,197
"Ajo Premium","7000000000286","Verduras","2025-03-26","Verde",14.59,415
"Lomo de Cerdo 750ml","7000000000287","Carnes","2028-05-24","Suiza",110.86,78
"Tortillas de Harina 250ml","7000000000288","Panaderia","2026-12-05","Pan Artesano",59.08,44
"Rábano 1L","7000000000289","Verduras","2026-05-23","NaturVerd",21.81,225
"Habas Extra","7000000000290","Verduras","2025-11-22","Verde",12.19,470
"Jugo de Naranja Familiar","7000000000291","Bebidas","2026-11-24","Pepsi",55.92,27
"Crema de Avellanas 500ml","7000000000292","Lacteos","2026-11-07","Alpura",12.09,348
"Durazno 2L","7000000000293","Frutas","2028-09-06","Fresh Del Monte",38.68,309
"Nata Montada 750ml","7000000000294","Lacteos","2025-06-16","Lala",48.71,73
"Bebida de Avena 6-pack","7000000000295","Desayuno","2025-09-22","General Mills",55.7,481
"Arroz Integral Premium","7000000000296","Granos y Cereales","2027-02-11","Barilla",34.31,169
"Hamburguesa Congelada Grande","7000000000297","Congelados","2025-07-11","Iglo",86.37,217
"Champiñón","7000000000298","Verduras","2027-01-13","Bio Selecto",10.65,487
"Comino Mediano","7000000000299","Especias y Condimentos","2026-01-29","Maggi",12.93,71
"Pera en Lata 200ml","7000000000300","Enlatados","2025-07-27","Clemente Jacques",27.77,277
"Paleta de Limón 1L","7000000000301","Frutas","2028-09-17","NaturFresh",15.46,393
"Detergente en Polvo Extra","7000000000302","Limpieza del Hogar","2027-02-11","Fabuloso",22.34,93
"Helado de Fresa 500g","7000000000303","Frutas","2027-06-16","NaturFresh",4.62,187
"Servilletas de Papel Pequeño","7000000000304","Limpieza del Hogar","2028-06-04","Fabuloso",32.79,384
"Dulce de Leche 100g","7000000000305","Lacteos","2027-12-30","Sello Rojo",22.94,495
"Nuggets de Pollo 250g","7000000000306","Carnes","2027-01-24","Noel",145.31,293
"Coco Rallado 200ml","7000000000307","Frutas","2027-02-22","Del Campo",21.61,215
"Aceite Vegetal Extra","7000000000308","Aceites y Grasas","2025-10-11","Nutrioli",107.3,27
"Jabón Líquido 330ml","7000000000309","Higiene Personal","2028-02-10","Oral-B",94.41,365
"Queso Gouda 250ml","7000000000310","Lacteos","2026-08-07","NaturMilk",11.29,83
"Salsa Teriyaki Grande","7000000000311","Especias y Condimentos","2025-10-29","Goya",34.09,47
"Tomillo 330ml","7000000000312","Especias y Condimentos","2025-02-24","Goya",19.52,203
"Apio 100g","7000000000313","Verduras","2027-03-02","Bio Selecto",29.85,192
"Canela 750ml","7000000000314","Especias y Condimentos","2025-07-22","McCormick",34.37,333
